Unnamed: 0,Make,Model,Color,Mileage,Price,Cost,Profit
,Honda,Accord,Red,63512,4000.0,3000.0,1000.0
,Honda,Accord,Blue,95135,2500.0,2000.0,500.0
,Honda,Accord,Silver,101354,2000.0,1500.0,500.0
,Toyota,Camry,Black,75006,2198.0,1900.0,298.0
,Nissan,Altima,Green,69847,3826.0,3000.0,826.0
,Nissan,Altima,Green,55233,2970.0,2500.0,470.0
,Toyota,Corolla,Black,87278,2224.0,2100.0,124.0
,Toyota,Corolla,Blue,130684,2798.0,2200.0,598.0
,Toyota,Corolla,Silver,59169,2160.0,2000.0,160.0
,Honda,Civic,White,138789,2723.0,1900.0,823.0
,Ford,F-150,Black,89073,3950.0,3000.0,950.0
,Chevrolet,Silverado,Green,109231,4959.0,4500.0,459.0
,Chevrolet,Impala,Silver,87675,3791.0,3500.0,291.0
,Chevrolet,Impala,White,140811,2340.0,2000.0,340.0
,Chevrolet,Malibu,White,139300,3361.0,3000.0,361.0
,Ford,Escape,Black,63259,3196.0,3050.0,146.0
,Ford,Escape,Red,40826,4397.0,3900.0,497.0
,Ford,Mustang,Silver,41560,3706.0,3100.0,606.0
,Honda,CRV,Blue,49326,4745.0,4100.0,645.0
,Nissan,Maxima,Red,101856,2914.0,2500.0,414.0
,Ford,Fusion,Black,42542,2659.0,2100.0,559.0
,Dodge,Charger,Silver,34853,4349.0,3500.0,849.0
,Dodge,Charger,Silver,58173,4252.0,4000.0,252.0
,Dodge,Charger,Black,136775,2090.0,1800.0,290.0
